GWAS_1,dataset,gene_2,nsnps,PP.H0.abf,PP.H1.abf,PP.H2.abf,PP.H3.abf,PP.H4.abf,sum_PPH3_PPH4,ratio_PPH4_PPH3,p12,gene_name,significant
foo2020,CD16p_Mono,ENSG00000145335,3773,2.288728961296318e-12,0.018787422171874055,9.774937382256282e-12,0.07933736604817863,0.9018752117678824,0.9812125778160611,11.367597094415853,1e-5,SNCA,Colocalised
foo2020,CD16p_Mono,ENSG00000188906,4747,1.5498840163478518e-41,3.6192172900333035e-32,4.28237348425117e-10,0.9999999995550155,1.6747761624518946e-11,0.9999999995717632,1.674776163197144e-11,1e-5,LRRK2,Distinct
foo2020,CL_Mono,ENSG00000145335,3773,3.612436580920564e-11,0.29653302012849875,1.89353407276256e-11,0.1548853934425833,0.548581586373859,0.7034669798164424,3.54185487850551,1e-5,SNCA,Suggestive
foo2020,CL_Mono,ENSG00000188906,4747,3.5055509957398493e-34,8.186000140043718e-25,4.282373484251444e-10,0.9999999995550723,1.66841130012075e-11,0.9999999995717564,1.6684113008630722e-11,1e-5,LRRK2,Distinct
foo2020,CM_CD8,ENSG00000188906,4747,1.995735966565228e-10,0.46603500909406353,2.0775282341308874e-10,0.4850858810525832,0.04887910944602768,0.5339649904986109,0.10076382627332992,1e-5,LRRK2,Not_signif
foo2020,DN_B,ENSG00000145335,3773,8.097721258386869e-11,0.6647152654777658,3.727842012688356e-11,0.30597696412465547,0.02930777027932454,0.33528473440398,0.09578423775518118,1e-5,SNCA,Not_signif
foo2020,DN_B,ENSG00000188906,4747,9.115977872871928e-17,2.1287208839538135e-7,4.282372387033726e-10,0.9999997432944855,4.340518767453366e-8,0.9999997866996732,4.3405198816887555e-8,1e-5,LRRK2,Distinct
foo2020,EM_CD8,ENSG00000188906,4747,1.3668246527742478e-10,0.3191745552303337,2.78190431597018e-10,0.649586157458855,0.03123928689593691,0.6808254443547919,0.048091060034504536,1e-5,LRRK2,Not_signif
foo2020,Fr_I_nTreg,ENSG00000145335,3773,5.210058420801773e-11,0.4276765346486893,6.641202772271095e-11,0.54512726429493,0.027196200937867,0.572323465232797,0.04988963627244491,1e-5,SNCA,Not_signif
foo2020,Fr_I_nTreg,ENSG00000188906,4747,2.906258868492606e-10,0.6786560952442439,1.1047027349152432e-10,0.25790161809119405,0.06344228626346428,0.3213439043546583,0.2459941381253028,1e-5,LRRK2,Not_signif
foo2020,Fr_II_eTreg,ENSG00000145335,3773,8.474916605210198e-11,0.6956779890762063,3.247529908601551e-11,0.26654125258492983,0.03778075822163907,0.3043220108065689,0.14174450617020617,1e-5,SNCA,Not_signif
foo2020,Fr_II_eTreg,ENSG00000188906,4747,2.804375658477309e-10,0.6548648004530151,1.239786567514461e-10,0.2894535289398038,0.05568167020276669,0.3451351991425705,0.19236825478243358,1e-5,LRRK2,Not_signif
