GWAS_1,dataset,gene_2,nsnps,PP.H0.abf,PP.H1.abf,PP.H2.abf,PP.H3.abf,PP.H4.abf,sum_PPH3_PPH4,ratio_PPH4_PPH3,p12,gene_name,Eqtl_type,Cell_resolution,Cell_name,Treatment,significant
foo2020,expression_celltype_Monocyte_NS,ENSG00000188906,928,1.4372477273990902e-8,0.8193014971025615,1.7100255397445006e-9,0.09739651713789213,0.08330196967704374,0.1806984868149359,0.8552869458268862,1e-5,LRRK2,expression,celltype,Monocyte,NS,Not_signif
foo2020,expression_celltype_NK_COV,ENSG00000145335,358,1.7917591552709536e-13,0.0019704824747674354,8.637161554824716e-11,0.9498213893258711,0.04820812811281035,0.9980295174386815,0.05075494051257965,1e-5,SNCA,expression,celltype,NK,COV,Distinct
foo2020,expression_celltype_NK_COV,ENSG00000188906,928,1.4378489239441153e-8,0.8196442085363679,1.0625388171513455e-9,0.06045000343833908,0.1199057725842643,0.1803557760226034,1.9835527835258435,1e-5,LRRK2,expression,celltype,NK,COV,Not_signif
foo2020,expression_celltype_NK_IAV,ENSG00000145335,358,1.8111391941728906e-21,1.9917956221869635e-11,8.661734045842852e-11,0.9525244752433962,0.047475524650069836,0.9999999998934661,0.04984178977441869,1e-5,SNCA,expression,celltype,NK,IAV,Distinct
foo2020,expression_celltype_NK_IAV,ENSG00000188906,928,1.5071926346546977e-8,0.8591735150830127,1.2420719750183134e-9,0.07073408488105594,0.0700923837219348,0.14082646860299075,0.9909279782130467,1e-5,LRRK2,expression,celltype,NK,IAV,Not_signif
foo2020,expression_celltype_NK_NS,ENSG00000145335,358,1.4715283017471072e-11,0.16183094257880182,7.473879615816663e-11,0.8219217211773198,0.016247336154424134,0.8381690573317438,0.019767498212787792,1e-5,SNCA,expression,celltype,NK,NS,Distinct
foo2020,expression_celltype_NK_NS,ENSG00000188906,928,1.4643993787928376e-8,0.8347792663219016,1.1913330117513846e-9,0.06781440188999487,0.09740631595277534,0.1652207178427702,1.436366217765704,1e-5,LRRK2,expression,celltype,NK,NS,Not_signif
foo2020,expression_celltype_T-CD4_COV,ENSG00000145335,358,1.0432718544963159e-17,1.1473355108333395e-7,8.657069200170092e-11,0.952010946638903,0.047988938540973046,0.999999885179876,0.05040796926799962,1e-5,SNCA,expression,celltype,T-CD4,COV,Distinct
foo2020,expression_celltype_T-CD4_COV,ENSG00000188906,928,1.494020457989842e-8,0.8516647301631398,1.042033434230614e-9,0.05931197882229104,0.08902327503233139,0.14833525385462243,1.5009324726639206,1e-5,LRRK2,expression,celltype,T-CD4,COV,Not_signif
foo2020,expression_celltype_T-CD4_IAV,ENSG00000145335,358,2.6562953086828857e-14,2.921253862813419e-4,8.56891428136023e-11,0.9423067201357473,0.057401154392256994,0.9997078745280044,0.060915573629770854,1e-5,SNCA,expression,celltype,T-CD4,IAV,Distinct
foo2020,expression_celltype_T-CD4_IAV,ENSG00000188906,928,1.488383371595405e-8,0.8484513152213632,1.427950073200775e-9,0.0813299191989935,0.07021874926785868,0.15154866846685217,0.8633815201027234,1e-5,LRRK2,expression,celltype,T-CD4,IAV,Not_signif
foo2020,expression_celltype_T-CD4_NS,ENSG00000145335,358,1.9555282793655514e-11,0.21505871434038953,6.967223468888793e-11,0.7661998489831553,0.018741436587226077,0.7849412855703813,0.024460245733666418,1e-5,SNCA,expression,celltype,T-CD4,NS,Distinct
foo2020,expression_celltype_T-CD4_NS,ENSG00000188906,928,1.4845401391983881e-8,0.8462604847913947,1.4564977100693082e-9,0.08295671008087642,0.07078278882582875,0.15373949890670519,0.8532497100815711,1e-5,LRRK2,expression,celltype,T-CD4,NS,Not_signif
foo2020,expression_celltype_T-CD8_COV,ENSG00000145335,358,8.169386036502114e-11,0.8984261063872113,3.4288827882056455e-12,0.03764512058402297,0.06392877294364299,0.10157389352766596,1.6981954620375186,1e-5,SNCA,expression,celltype,T-CD8,COV,Not_signif
foo2020,expression_celltype_T-CD8_COV,ENSG00000188906,928,1.5107735598312456e-8,0.8612148175684701,1.0795573962579498e-9,0.061462729016733386,0.07732243722750301,0.1387851662442364,1.258037813557738,1e-5,LRRK2,expression,celltype,T-CD8,COV,Not_signif
foo2020,expression_celltype_T-CD8_IAV,ENSG00000145335,358,4.261629002119602e-11,0.4686715420392216,4.355361170036832e-11,0.47892731170158137,0.052401146173028025,0.5313284578746094,0.10941356839068529,1e-5,SNCA,expression,celltype,T-CD8,IAV,Not_signif
foo2020,expression_celltype_T-CD8_IAV,ENSG00000188906,928,1.3876017878642607e-8,0.7910008834988396,2.5215819145035087e-9,0.14367717968423402,0.06532192041932547,0.2089991001035595,0.45464367106096093,1e-5,LRRK2,expression,celltype,T-CD8,IAV,Not_signif
